+----+------------+---------+---------+---------+---------+------------------+-----------+-------------------+---------------------+
|    | Date       |    Open |    High |     Low |   Close |   Adjusted Close |    Volume |   Dividend Amount |   Split Coefficient |
|----+------------+---------+---------+---------+---------+------------------+-----------+-------------------+---------------------|
|  0 | 2023-06-20 | 261.5   | 274.75  | 261.12  |  274.45 |           274.45 | 165611217 |                 0 |                   1 |
|  1 | 2023-06-16 | 258.92  | 263.6   | 257.209 |  260.54 |           260.54 | 167915649 |                 0 |                   1 |
|  2 | 2023-06-15 | 248.4   | 258.95  | 247.29  |  255.9  |           255.9  | 160171238 |                 0 |                   1 |
|  3 | 2023-06-14 | 260.17  | 261.57  | 250.5   |  256.79 |           256.79 | 170575536 |                 0 |                   1 |
|  4 | 2023-06-13 | 253.51  | 259.68  | 251.34  |  258.71 |           258.71 | 162384343 |                 0 |                   1 |
|  5 | 2023-06-12 | 247.94  | 250.97  | 244.59  |  249.83 |           249.83 | 150740523 |                 0 |                   1 |
|  6 | 2023-06-09 | 249.07  | 252.42  | 242.02  |  244.4  |           244.4  | 200242371 |                 0 |                   1 |
|  7 | 2023-06-08 | 224.22  | 235.23  | 223.01  |  234.86 |           234.86 | 164489739 |                 0 |                   1 |
|  8 | 2023-06-07 | 228     | 230.83  | 223.2   |  224.57 |           224.57 | 185710777 |                 0 |                   1 |
|  9 | 2023-06-06 | 216.14  | 221.91  | 212.53  |  221.31 |           221.31 | 146911576 |                 0 |                   1 |
| 10 | 2023-06-05 | 217.8   | 221.29  | 214.52  |  217.61 |           217.61 | 151143052 |                 0 |                   1 |
| 11 | 2023-06-02 | 210.15  | 217.25  | 209.752 |  213.97 |           213.97 | 164398372 |                 0 |                   1 |
| 12 | 2023-06-01 | 202.59  | 209.8   | 199.37  |  207.52 |           207.52 | 148029931 |                 0 |                   1 |
| 13 | 2023-05-31 | 199.78  | 203.95  | 195.12  |  203.93 |           203.93 | 149356274 |                 0 |                   1 |
| 14 | 2023-05-30 | 200.1   | 204.48  | 197.53  |  201.16 |           201.16 | 128818746 |                 0 |                   1 |
| 15 | 2023-05-26 | 184.62  | 198.6   | 184.53  |  193.17 |           193.17 | 162061496 |                 0 |                   1 |
| 16 | 2023-05-25 | 186.54  | 186.78  | 180.58  |  184.47 |           184.47 |  96870719 |                 0 |                   1 |
| 17 | 2023-05-24 | 182.23  | 184.22  | 178.22  |  182.9  |           182.9  | 137605054 |                 0 |                   1 |
| 18 | 2023-05-23 | 186.2   | 192.96  | 185.26  |  185.77 |           185.77 | 156952130 |                 0 |                   1 |
| 19 | 2023-05-22 | 180.7   | 189.32  | 180.11  |  188.87 |           188.87 | 132001430 |                 0 |                   1 |
| 20 | 2023-05-19 | 177.17  | 181.95  | 176.31  |  180.14 |           180.14 | 136196668 |                 0 |                   1 |
| 21 | 2023-05-18 | 174.22  | 177.06  | 172.45  |  176.89 |           176.89 | 109520332 |                 0 |                   1 |
| 22 | 2023-05-17 | 168.41  | 174.5   | 167.185 |  173.86 |           173.86 | 125473558 |                 0 |                   1 |
| 23 | 2023-05-16 | 165.65  | 169.518 | 164.35  |  166.52 |           166.52 |  98288792 |                 0 |                   1 |
| 24 | 2023-05-15 | 167.655 | 169.76  | 164.55  |  166.35 |           166.35 | 105592510 |                 0 |                   1 |
| 25 | 2023-05-12 | 176.07  | 177.38  | 167.23  |  167.98 |           167.98 | 157849625 |                 0 |                   1 |
| 26 | 2023-05-11 | 168.7   | 173.57  | 166.79  |  172.08 |           172.08 | 103889930 |                 0 |                   1 |
| 27 | 2023-05-10 | 172.55  | 174.43  | 166.68  |  168.54 |           168.54 | 119840693 |                 0 |                   1 |
| 28 | 2023-05-09 | 168.95  | 169.82  | 166.56  |  169.15 |           169.15 |  88965043 |                 0 |                   1 |
| 29 | 2023-05-08 | 173.72  | 173.8   | 169.19  |  171.79 |           171.79 | 112249449 |                 0 |                   1 |
| 30 | 2023-05-05 | 163.97  | 170.79  | 163.51  |  170.06 |           170.06 | 107607259 |                 0 |                   1 |
| 31 | 2023-05-04 | 162.71  | 162.95  | 159.65  |  161.2  |           161.2  |  95108492 |                 0 |                   1 |
| 32 | 2023-05-03 | 160.01  | 165     | 159.91  |  160.61 |           160.61 | 119727972 |                 0 |                   1 |
| 33 | 2023-05-02 | 161.88  | 165.49  | 158.93  |  160.31 |           160.31 | 128259744 |                 0 |                   1 |
| 34 | 2023-05-01 | 163.17  | 163.28  | 158.83  |  161.83 |           161.83 | 109015048 |                 0 |                   1 |
| 35 | 2023-04-28 | 160.9   | 165     | 157.32  |  164.31 |           164.31 | 122515812 |                 0 |                   1 |
| 36 | 2023-04-27 | 152.64  | 160.48  | 152.37  |  160.19 |           160.19 | 127015177 |                 0 |                   1 |
| 37 | 2023-04-26 | 160.29  | 160.67  | 153.14  |  153.75 |           153.75 | 152247096 |                 0 |                   1 |
| 38 | 2023-04-25 | 159.82  | 163.47  | 158.75  |  160.67 |           160.67 | 121999312 |                 0 |                   1 |
| 39 | 2023-04-24 | 164.65  | 165.65  | 158.61  |  162.55 |           162.55 | 140006559 |                 0 |                   1 |
| 40 | 2023-04-21 | 164.8   | 166     | 161.321 |  165.08 |           165.08 | 123538954 |                 0 |                   1 |
| 41 | 2023-04-20 | 166.165 | 169.7   | 160.56  |  162.99 |           162.99 | 210970819 |                 0 |                   1 |
| 42 | 2023-04-19 | 179.1   | 183.5   | 177.65  |  180.59 |           180.59 | 125732687 |                 0 |                   1 |
| 43 | 2023-04-18 | 187.15  | 187.69  | 183.577 |  184.31 |           184.31 |  92067016 |                 0 |                   1 |
| 44 | 2023-04-17 | 186.32  | 189.69  | 182.69  |  187.04 |           187.04 | 116177121 |                 0 |                   1 |
| 45 | 2023-04-14 | 183.95  | 186.28  | 182.01  |  185    |           185    |  96438664 |                 0 |                   1 |
| 46 | 2023-04-13 | 182.955 | 186.5   | 180.94  |  185.9  |           185.9  | 112932985 |                 0 |                   1 |
| 47 | 2023-04-12 | 190.74  | 191.585 | 180.31  |  180.54 |           180.54 | 150256278 |                 0 |                   1 |
| 48 | 2023-04-11 | 186.69  | 189.19  | 185.648 |  186.79 |           186.79 | 115770892 |                 0 |                   1 |
| 49 | 2023-04-10 | 179.94  | 185.1   | 176.11  |  184.51 |           184.51 | 142154637 |                 0 |                   1 |
| 50 | 2023-04-06 | 183.08  | 186.39  | 179.74  |  185.06 |           185.06 | 123857932 |                 0 |                   1 |
